MJD,mag_R,dmag_R
56213.53,13.74,0.03
56214.38,13.71,0.01
56215.5,13.75,0.01
56216.11,13.79,0.01
56216.73,13.79,0.02
56218.5,13.95,0.01
56219.5,14.01,0.01
56220.5,14.04,0.01
56221.5,14.04,0.03
56223.5,14.17,0.02
56224.5,14.22,0.01
56226.5,14.43,0.01
56226.5,14.4,0.03
56227.5,14.54,0.02
56228.5,14.65,0.02
56234.5,14.59,0.04
56238.5,14.78,0.05
56238.5,14.78,0.01
56239.5,14.87,0.02
56240.5,14.98,0.04
56240.5,14.98,0.02
56242.5,15.15,0.02
56245.5,15.34,0.02
56246.5,15.36,0.03
56247.5,15.36,0.08
56247.5,15.37,0.02
56248.0,15.37,0.04
56248.5,15.38,0.03
56250.5,15.68,0.06
